Age,SR,Ca,K_Area ,Br_Area ,K/Ti,Sr_Area 
2272,1.257861635,138993,69415,1804,2.909018523,14851
2276,1.335113485,136583,80728,1512,3.111625039,13943
2280,1.416430595,150343,78316,1436,3.1149471,14690
2283,1.499250375,144637,80515,1679,3.161045895,14203
2286,1.584786054,153082,81808,1472,3.075026312,15291
2289,1.669449082,160216,82914,1270,3.258685741,15107
2292,1.754385965,188428,79632,1454,3.079945852,15768
2295,1.838235294,253717,65845,2032,2.995132824,17310
2298,1.919385797,189540,73565,1575,3.086298037,15073
2300,1.992031873,138680,82024,1859,3.119020458,13150
2303,2.05338809,160882,80675,1608,3.063879078,14928
2305,2.096436059,217567,65352,2066,2.821152601,17038
2305,2.096436059,174898,47690,4863,2.295879068,17374
2305,2.096436059,338263,45923,2729,2.373649661,21281
2305,2.105263158,526435,41645,2039,2.818231035,23020
2308,2.145922747,642845,41736,2234,2.790585718,25914
2310,2.173913043,685142,40293,1892,2.901490603,26346
2312,2.183406114,647730,32536,1572,2.862320753,24238
2315,2.178649237,849329,26139,1590,2.70506054,30134
2317,2.155172414,499861,14838,1710,2.028434723,22412
2319,2.118644068,325297,22442,2147,2.206903334,16665
2322,2.070393375,328533,31817,2204,2.747819328,15167
2324,2.02020202,244352,38547,1623,2.872354694,15111
2324,2.02020202,243977,51170,1903,3.178655734,15508
2324,2.02020202,315373,42035,1575,2.713511071,17181
2324,2.02020202,283435,24779,1930,1.193996049,17706
2324,2.02020202,205963,14931,2330,1.293959615,15580
2324,2.02020202,191677,18226,2001,1.787213179,17901
2324,2.02020202,356990,45125,1436,2.59056203,21659
2324,2.02020202,556683,35668,2093,2.660996717,29184
2326,1.953125,637312,23213,1346,2.290379872,29021
2329,1.876172608,631582,23024,2185,2.35804998,31303
2331,1.795332136,577977,32487,2119,2.536263565,25416
2334,1.709401709,533380,38897,2007,2.620385341,22971
2335,1.692047377,543470,39804,1433,2.789934815,22326
2337,1.642036125,603272,29110,1804,2.239058534,25650
2340,1.555209953,672540,32022,1869,2.842609854,29896
2343,1.470588235,484078,33801,2256,2.757914491,25766
2346,1.388888889,446533,23928,2286,2.150058406,25613
2350,1.308900524,559316,28651,1864,2.784083179,28059
2356,1.204819277,591733,29608,2498,2.365045131,25094
2360,1.133786848,502776,33743,1871,2.35257617,26307
2364,1.068376068,708531,31995,1794,2.680995475,36862
2370,1.007049345,796314,42701,2249,3.463460135,45090
2375,0.968054211,571898,34743,2166,2.429070824,27099
2388,0.908265213,727048,36451,2282,2.757261725,30063
2394,0.895255148,582411,41169,2520,2.890269587,25837
2399,0.888099467,526889,39075,2634,2.686490203,24256
2410,0.889679715,630729,38380,2340,2.749874615,27516
2435,0.967117988,674376,37882,1891,2.805866232,30243
2442,0.993048659,852329,41378,1770,3.31262509,40496
2446,1.011122346,532570,30967,2320,2.283702065,31283
2448,1.020408163,990452,7214,1522,1.444822752,42238
2452,1.043841336,820845,14827,1550,2.202465835,42592
2457,1.067235859,964433,27447,1555,3.029470199,52387
2462,1.092896175,993441,32360,1375,3.412782113,55731
2466,1.118568233,978991,24487,1036,3.192152262,53373
2471,1.14416476,783703,21973,1410,2.666302633,56730
2475,1.170960187,815840,34520,1551,3.465863454,55511
2479,1.199040767,534034,36494,2779,2.729543755,27076
2483,1.226993865,438326,32254,2556,2.409892409,23378
2488,1.256281407,555743,35992,2171,2.667061875,25749
2491,1.287001287,585008,33983,2240,2.593330281,24593
2495,1.317523057,484403,38961,2342,2.567446458,24601
2499,1.349527665,461285,39284,2789,2.627868085,23971
2503,1.383125864,482605,32888,1972,2.493026076,26380
2506,1.416430595,367676,21917,1895,2.14872549,25158
2510,1.45137881,428981,23978,2310,2.114648558,22634
2513,1.485884101,448447,27083,2076,2.301019541,24556
2517,1.522070015,354547,21589,2498,1.861281145,22764
2520,1.560062402,285553,21292,3094,1.782652378,19592
2522,1.589825119,247702,24878,3805,1.920932747,19751
2522,1.589825119,279351,22863,3666,1.770678439,20176
2525,1.63132137,383187,28552,3674,2.026401703,21110
2529,1.669449082,362161,29201,2707,2.152989752,24405
2531,1.712328767,643277,38153,1503,2.848301605,32503
2534,1.754385965,599999,37190,2197,2.489790453,25820
2541,1.858736059,598172,41038,1824,2.533679076,22822
2544,1.901140684,616522,39528,1697,2.440451936,23546
2546,1.949317739,561685,40129,1902,2.319193203,22715
2549,1.996007984,583416,41876,1789,2.45866604,23815
2551,2.044989775,608869,36439,2114,2.361874514,27245
2554,2.092050209,280322,17165,2256,1.972988506,23406
2556,2.141327623,630036,40378,,2.421469265,
2558,2.169197397,589299,36996,,2.449417373,
2560,2.222222222,596452,40649,,2.588943379,
2562,2.272727273,591751,40039,,2.404744745,
2564,2.320185615,598351,40028,,2.478513932,
2567,2.392344498,576292,43659,,2.52087303,
2569,2.444987775,575695,43079,,2.574339668,
2571,2.493765586,585071,40518,,2.457423581,
2574,2.557544757,489864,42506,,2.431693364,
2576,2.604166667,421828,30472,,1.906167897,
2578,2.659574468,556201,40523,,2.409788297,
2579,2.702702703,511482,44023,,2.392294316,
2581,2.754820937,485322,37047,,2.15665386,
2583,2.801120448,632665,40286,,2.44439051,
2585,2.849002849,639053,40312,,2.433564745,
2587,2.89017341,620276,41198,,2.454892146,
2588,2.93255132,597212,46331,,2.636037779,
2590,2.976190476,644571,42441,,2.553610108,
2592,3.012048193,622203,42010,,2.588416513,
2593,3.048780488,616447,40294,,2.51428928,
2595,3.086419753,617624,41372,,2.555562419,
2597,3.115264798,596172,43744,,2.634387233,
2598,3.144654088,601461,39461,,2.316194166,
2600,3.164556962,582170,34549,,2.240531777,
2601,3.184713376,566861,26486,,2.132871638,
2603,3.205128205,581551,33039,,2.22679787,
2604,3.215434084,590146,35738,,2.388424781,
2606,3.236245955,586387,37882,,2.376686116,
2607,3.236245955,619492,36752,,2.342682305,
2609,3.246753247,714176,44907,,3.186249468,
2610,3.246753247,551409,39621,,2.60253547,
2611,3.246753247,427007,31840,,1.945021381,
2612,3.236245955,404886,36035,,2.195917124,
2616,3.205128205,401562,31480,,1.963940358,
2618,3.194888179,414214,33184,,2.013347895,
2620,3.154574132,349484,25511,,1.759136671,
2622,3.125,474127,31925,,2.27256549,
2623,3.095975232,353602,33079,,2.028639765,
2625,3.067484663,394023,33034,,2.231423939,
2627,3.03030303,466770,32510,,2.332137733,
2629,2.976190476,385632,33379,,2.284668036,
2631,2.941176471,350604,21251,,2.078134168,
2632,2.898550725,351729,23048,,2.168815282,
2634,2.840909091,378391,25935,,2.151389465,
2636,2.793296089,416024,24350,,2.268703997,
2638,2.747252747,439984,32987,2297,2.419643512,22628
2641,2.680965147,416492,25913,2678,2.125758819,23751
2643,2.631578947,430012,31930,2221,2.474426534,21088
2646,2.53164557,532526,25763,2383,2.162413967,23495
2648,2.481389578,537718,24187,2244,2.090131352,23873
2650,2.427184466,553750,23617,2182,2.178087245,23538
2652,2.375296912,542842,26943,1834,2.250501169,24523
2655,2.320185615,598763,23723,2532,2.251613516,25841
2657,2.267573696,563119,22027,1553,2.113509883,23390
2659,2.202643172,501539,26495,2335,1.750925192,22405
2662,2.145922747,538927,24592,2030,2.00800196,22874
2664,2.092050209,558431,25580,1753,2.113176373,22139
2668,2.016129032,449340,22822,2591,1.955277587,22987
2670,1.960784314,422906,21870,2617,1.931466926,22817
2673,1.908396947,499673,23640,2088,2.28494104,23264
2675,1.85528757,538675,27796,2638,2.286419347,24543
2678,1.801801802,313484,12909,2456,1.758240262,19393
2681,1.751313485,360056,14608,2608,1.891003236,16920
2684,1.700680272,537269,30919,2138,2.543517604,23295
2687,1.650165017,528221,31580,2290,2.684917531,22569
2690,1.602564103,462870,27872,1781,2.450285714,21348
2694,1.53609831,640012,36710,2071,2.832124672,25726
2697,1.501501502,554287,31345,2775,2.369236584,23442
2700,1.455604076,409659,20629,2835,2.096443089,18757
2700,1.455604076,484791,22140,1941,2.130279996,21695
2704,1.414427157,558556,28087,2109,2.384902777,22283
2707,1.371742112,535731,29593,2299,2.50004224,22529
2711,1.331557923,491698,26638,2170,2.354844413,21261
2715,1.291989664,477127,25802,2462,2.213623885,21121
2719,1.254705144,542501,30307,2311,2.451031136,22986
2723,1.218026797,569740,29912,1574,2.504982832,24182
2730,1.154734411,653560,24222,2095,2.369363201,22536
2734,1.128668172,551456,29186,2554,2.255312572,21558
2738,1.096491228,514276,31686,2052,2.343985797,21564
2743,1.064962726,659649,29572,1877,2.450853638,27319
2749,1.022494888,486383,36231,2607,2.284570276,20671
2754,0.994035785,389664,49217,2596,2.941841004,18780
2761,0.960614793,455951,32855,2681,2.369123161,18731
2766,0.933706816,415573,31886,2976,2.24044407,20579
2771,0.908265213,426905,26961,2281,2.227261462,20544
2777,0.883392226,450877,31427,2429,2.190645476,20761
2783,0.859106529,456392,37253,3267,2.222997971,20531
2788,0.836120401,513176,34926,2752,2.35461471,22164
2794,0.81366965,503816,30541,2177,2.435680676,19726
2803,0.784313725,596232,31284,1884,2.605697151,24679
2814,0.753579503,517325,32437,1912,2.364040522,21987
2820,0.735294118,539249,28905,1893,2.595635776,20951
2838,0.692041522,469226,33447,2900,2.26023787,21942
2846,0.67704807,490736,38168,2587,2.466907963,22436
2853,0.662251656,341541,30663,3048,2.161954453,20016
2861,0.648508431,470806,37573,2370,2.429393508,20689
2869,0.635324015,460769,32261,2610,2.279123984,21975
2877,0.622277536,556003,30621,2425,2.532126023,22561
2886,0.607533414,544084,34443,2453,2.400041809,23908
2895,0.595947557,532965,31433,2663,2.221099491,24282
2903,0.584795322,565928,37771,1952,2.566487735,24745
2912,0.574052813,597300,38259,2651,2.620299979,26065
2920,0.563697858,686953,32044,2227,2.473485141,28413
2929,0.553403431,676465,27429,2326,2.447488177,26048
2938,0.54377379,535057,41178,1945,2.93165314,28906
2955,0.52742616,459516,33253,2733,2.225322894,22309
2965,0.518672199,400687,33935,2468,2.266564253,20759
2994,0.494071146,533164,34498,2518,2.332837436,22930
3005,0.486618005,495503,32123,1753,2.323040208,21967
3015,0.479156684,513667,36285,1817,2.723281297,20062
3027,0.470588235,480881,34366,2131,2.320459149,21764
3045,0.459558824,581846,35588,2774,2.474826147,24939
3056,0.453103761,514449,34177,2539,2.250263366,23352
3067,0.447027269,658698,29080,2550,2.33293221,25334
3080,0.439947206,473506,33338,3056,2.197771771,22105
3092,0.43421624,554612,32168,2587,2.394521364,24209
3103,0.428816467,659564,32351,2300,2.503753579,25918
3115,0.423728814,636994,31653,2105,2.559886777,29486
3127,0.418760469,623480,26742,1833,2.188558802,23478
3151,0.409332788,461500,32590,2386,2.334527221,21141
